,X,Y,Z,Speed
483,-6824,-9420,507,119
484,-6833,-9385,507,126
485,-6848,-9331,507,133
486,-6850,-9328,507,137
487,-6877,-9264,506,142
488,-6886,-9245,505,147
489,-6908,-9207,506,150
490,-6917,-9191,505,154
491,-6967,-9114,503,161
492,-6999,-9066,503,168
493,-7078,-8954,504,175
494,-7120,-8891,504,182
495,-7138,-8856,504,190
496,-7144,-8846,504,194
497,-7173,-8786,504,198
498,-7206,-8718,504,201
499,-7230,-8659,503,205
500,-7241,-8633,503,208
501,-7272,-8548,502,211
502,-7297,-8476,503,216
503,-7324,-8391,503,221
504,-7335,-8359,503,223
505,-7380,-8208,503,226
506,-7382,-8202,503,230
507,-7442,-7988,502,235
508,-7450,-7956,501,240
509,-7499,-7779,502,242
510,-7510,-7735,502,245
511,-7532,-7656,502,250
512,-7547,-7589,502,253
513,-7576,-7447,501,256
514,-7587,-7394,502,257
515,-7597,-7332,502,258
516,-7615,-7207,503,260
517,-7615,-7199,502,262
518,-7633,-7029,502,267
519,-7636,-7001,502,267
520,-7645,-6869,501,267
521,-7653,-6763,502,270
522,-7659,-6660,502,274
523,-7665,-6568,502,275
524,-7665,-6556,502,276
